id;nome;siglaPartido;siglaUf;urlFoto
178957;ABEL MESQUITA JR.;DEM;RR;http://www.camara.leg.br/internet/deputado/bandep/178957.jpg
178864;ADAIL CARNEIRO;PODE;CE;http://www.camara.leg.br/internet/deputado/bandep/178864.jpg
178914;ADALBERTO CAVALCANTI;AVANTE;PE;http://www.camara.leg.br/internet/deputado/bandep/178914.jpg
178968;ADELSON BARRETO;PR;SE;http://www.camara.leg.br/internet/deputado/bandep/178968.jpg
178903;ADILTON SACHETTI;PRB;MT;http://www.camara.leg.br/internet/deputado/bandep/178903.jpg
141372;AELTON FREITAS;PR;MG;http://www.camara.leg.br/internet/deputado/bandep/141372.jpg
160508;AFONSO FLORENCE;PT;BA;http://www.camara.leg.br/internet/deputado/bandep/160508.jpg
136811;AFONSO HAMM;PP;RS;http://www.camara.leg.br/internet/deputado/bandep/136811.jpg
178835;AFONSO MOTTA;PDT;RS;http://www.camara.leg.br/internet/deputado/bandep/178835.jpg
160527;AGUINALDO RIBEIRO;PP;PB;http://www.camara.leg.br/internet/deputado/bandep/160527.jpg
178836;ALAN RICK;DEM;AC;http://www.camara.leg.br/internet/deputado/bandep/178836.jpg
73579;ALBERTO FRAGA;DEM;DF;http://www.camara.leg.br/internet/deputado/bandep/73579.jpg
160559;ALCEU MOREIRA;PMDB;RS;http://www.camara.leg.br/internet/deputado/bandep/160559.jpg
160511;ALESSANDRO MOLON;PSB;RJ;http://www.camara.leg.br/internet/deputado/bandep/160511.jpg
73458;ALEX CANZIANI;PTB;PR;http://www.camara.leg.br/internet/deputado/bandep/73458.jpg
178972;ALEX MANENTE;PPS;SP;http://www.camara.leg.br/internet/deputado/bandep/178972.jpg
160545;ALEXANDRE LEITE;DEM;SP;http://www.camara.leg.br/internet/deputado/bandep/160545.jpg
178833;ALEXANDRE SERFIOTIS;PSD;RJ;http://www.camara.leg.br/internet/deputado/bandep/178833.jpg
178936;ALEXANDRE VALLE;PR;RJ;http://www.camara.leg.br/internet/deputado/bandep/178936.jpg
141454;ALFREDO KAEFER;PP;PR;http://www.camara.leg.br/internet/deputado/bandep/141454.jpg
178846;ALFREDO NASCIMENTO;PR;AM;http://www.camara.leg.br/internet/deputado/bandep/178846.jpg
74057;ALICE PORTUGAL;PCdoB;BA;http://www.camara.leg.br/internet/deputado/bandep/74057.jpg
178927;ALIEL MACHADO;PSB;PR;http://www.camara.leg.br/internet/deputado/bandep/178927.jpg
178937;ALTINEU CÔRTES;PR;RJ;http://www.camara.leg.br/internet/deputado/bandep/178937.jpg
178881;ALUISIO MENDES;PODE;MA;http://www.camara.leg.br/internet/deputado/bandep/178881.jpg
178973;ANA PERUGINI;PT;SP;http://www.camara.leg.br/internet/deputado/bandep/178973.jpg
178831;ANDRÉ ABDON;PP;AP;http://www.camara.leg.br/internet/deputado/bandep/178831.jpg
195143;ANDRÉ AMARAL;PROS;PB;http://www.camara.leg.br/internet/deputado/bandep/195143.jpg
74471;ANDRÉ DE PAULA;PSD;PE;http://www.camara.leg.br/internet/deputado/bandep/74471.jpg
133439;ANDRÉ FIGUEIREDO;PDT;CE;http://www.camara.leg.br/internet/deputado/bandep/133439.jpg
178882;ANDRÉ FUFUCA;PP;MA;http://www.camara.leg.br/internet/deputado/bandep/178882.jpg
160543;ANDRE MOURA;PSC;SE;http://www.camara.leg.br/internet/deputado/bandep/160543.jpg
178974;ANDRES SANCHEZ;PT;SP;http://www.camara.leg.br/internet/deputado/bandep/178974.jpg
178837;ANGELIM;PT;AC;http://www.camara.leg.br/internet/deputado/bandep/178837.jpg
74212;ANÍBAL GOMES;DEM;CE;http://www.camara.leg.br/internet/deputado/bandep/74212.jpg
74213;ANTONIO BALHMANN;PDT;CE;http://www.camara.leg.br/internet/deputado/bandep/74213.jpg
160553;ANTONIO BRITO;PSD;BA;http://www.camara.leg.br/internet/deputado/bandep/160553.jpg
141383;ANTONIO BULHÕES;PRB;SP;http://www.camara.leg.br/internet/deputado/bandep/141383.jpg
73584;ANTONIO CARLOS MENDES THAME;PV;SP;http://www.camara.leg.br/internet/deputado/bandep/73584.jpg
160530;ANTONIO IMBASSAHY;PSDB;BA;http://www.camara.leg.br/internet/deputado/bandep/160530.jpg
178950;ANTÔNIO JÁCOME;PODE;RN;http://www.camara.leg.br/internet/deputado/bandep/178950.jpg
73433;ARLINDO CHINAGLIA;PT;SP;http://www.camara.leg.br/internet/deputado/bandep/73433.jpg
73434;ARNALDO FARIA DE SÁ;PP;SP;http://www.camara.leg.br/internet/deputado/bandep/73434.jpg
141391;ARNALDO JARDIM;PPS;SP;http://www.camara.leg.br/internet/deputado/bandep/141391.jpg
160602;ARNALDO JORDY;PPS;PA;http://www.camara.leg.br/internet/deputado/bandep/160602.jpg
74833;AROLDE DE OLIVEIRA;PSD;RJ;http://www.camara.leg.br/internet/deputado/bandep/74833.jpg
160541;ARTHUR LIRA;PP;AL;http://www.camara.leg.br/internet/deputado/bandep/160541.jpg
160600;ARTHUR OLIVEIRA MAIA;DEM;BA;http://www.camara.leg.br/internet/deputado/bandep/160600.jpg
178847;ARTHUR VIRGÍLIO BISNETO;PSDB;AM;http://www.camara.leg.br/internet/deputado/bandep/178847.jpg
159237;ASSIS CARVALHO;PT;PI;http://www.camara.leg.br/internet/deputado/bandep/159237.jpg
74378;ASSIS DO COUTO;PDT;PR;http://www.camara.leg.br/internet/deputado/bandep/74378.jpg
74090;ÁTILA LINS;PP;AM;http://www.camara.leg.br/internet/deputado/bandep/74090.jpg
74459;ÁTILA LIRA;PSB;PI;http://www.camara.leg.br/internet/deputado/bandep/74459.jpg
73655;AUGUSTO CARVALHO;SD;DF;http://www.camara.leg.br/internet/deputado/bandep/73655.jpg
160665;AUGUSTO COUTINHO ;SD;PE;http://www.camara.leg.br/internet/deputado/bandep/160665.jpg
160512;AUREO;SD;RJ;http://www.camara.leg.br/internet/deputado/bandep/160512.jpg
69871;BACELAR;PODE;BA;http://www.camara.leg.br/internet/deputado/bandep/69871.jpg
178975;BALEIA ROSSI;PMDB;SP;http://www.camara.leg.br/internet/deputado/bandep/178975.jpg
178834;BEBETO;PSB;BA;http://www.camara.leg.br/internet/deputado/bandep/178834.jpg
73701;BENEDITA DA SILVA;PT;RJ;http://www.camara.leg.br/internet/deputado/bandep/73701.jpg
74535;BENITO GAMA;PTB;BA;http://www.camara.leg.br/internet/deputado/bandep/74535.jpg
74040;BENJAMIN MARANHÃO;PMDB;PB;http://www.camara.leg.br/internet/deputado/bandep/74040.jpg
178915;BETINHO GOMES;PSDB;PE;http://www.camara.leg.br/internet/deputado/bandep/178915.jpg
141335;BETO FARO;PT;PA;http://www.camara.leg.br/internet/deputado/bandep/141335.jpg
73437;BETO MANSUR;PMDB;SP;http://www.camara.leg.br/internet/deputado/bandep/73437.jpg
178948;BETO ROSADO;PP;RN;http://www.camara.leg.br/internet/deputado/bandep/178948.jpg
178906;BETO SALAME;PP;PA;http://www.camara.leg.br/internet/deputado/bandep/178906.jpg
141513;BILAC PINTO;DEM;MG;http://www.camara.leg.br/internet/deputado/bandep/141513.jpg
160538;BOHN GASS;PT;RS;http://www.camara.leg.br/internet/deputado/bandep/160538.jpg
74650;BONIFÁCIO DE ANDRADA;DEM;MG;http://www.camara.leg.br/internet/deputado/bandep/74650.jpg
160589;BRUNA FURLAN;PSDB;SP;http://www.camara.leg.br/internet/deputado/bandep/160589.jpg
178999;BRUNNY;PR;MG;http://www.camara.leg.br/internet/deputado/bandep/178999.jpg
141394;BRUNO ARAÚJO;PSDB;PE;http://www.camara.leg.br/internet/deputado/bandep/141394.jpg
178938;CABO DACIOLO;PEN;RJ;http://www.camara.leg.br/internet/deputado/bandep/178938.jpg
178865;CABO SABINO;AVANTE;CE;http://www.camara.leg.br/internet/deputado/bandep/178865.jpg
105112;CABUÇU BORGES;PMDB;AP;http://www.camara.leg.br/internet/deputado/bandep/105112.jpg
93083;CACÁ LEÃO;PP;BA;http://www.camara.leg.br/internet/deputado/bandep/93083.jpg
178853;CAETANO;PT;BA;http://www.camara.leg.br/internet/deputado/bandep/178853.jpg
178891;CAIO NARCIO;PSDB;MG;http://www.camara.leg.br/internet/deputado/bandep/178891.jpg
194261;CAJAR NARDES;PODE;RS;http://www.camara.leg.br/internet/deputado/bandep/194261.jpg
178829;CAPITÃO AUGUSTO;PR;SP;http://www.camara.leg.br/internet/deputado/bandep/178829.jpg
178924;CAPITÃO FÁBIO ABREU;PR;PI;http://www.camara.leg.br/internet/deputado/bandep/178924.jpg
178958;CARLOS ANDRADE;PHS;RR;http://www.camara.leg.br/internet/deputado/bandep/178958.jpg
141401;CARLOS BEZERRA;PMDB;MT;http://www.camara.leg.br/internet/deputado/bandep/141401.jpg
178962;CARLOS GOMES;PRB;RS;http://www.camara.leg.br/internet/deputado/bandep/178962.jpg
178993;CARLOS HENRIQUE GAGUIM;DEM;TO;http://www.camara.leg.br/internet/deputado/bandep/178993.jpg
74163;CARLOS MANATO;PSL;ES;http://www.camara.leg.br/internet/deputado/bandep/74163.jpg
74651;CARLOS MELLES;DEM;MG;http://www.camara.leg.br/internet/deputado/bandep/74651.jpg
74262;CARLOS SAMPAIO;PSDB;SP;http://www.camara.leg.br/internet/deputado/bandep/74262.jpg
141398;CARLOS ZARATTINI;PT;SP;http://www.camara.leg.br/internet/deputado/bandep/141398.jpg
164360;CARMEN ZANOTTO;PPS;SC;http://www.camara.leg.br/internet/deputado/bandep/164360.jpg
178876;CÉLIO SILVEIRA;PSDB;GO;http://www.camara.leg.br/internet/deputado/bandep/178876.jpg
141405;CELSO MALDANER;PMDB;SC;http://www.camara.leg.br/internet/deputado/bandep/141405.jpg
72912;CELSO PANSERA;PT;RJ;http://www.camara.leg.br/internet/deputado/bandep/72912.jpg
73441;CELSO RUSSOMANNO;PRB;SP;http://www.camara.leg.br/internet/deputado/bandep/73441.jpg
160576;CÉSAR HALUM;PRB;TO;http://www.camara.leg.br/internet/deputado/bandep/160576.jpg
178838;CÉSAR MESSIAS;PSB;AC;http://www.camara.leg.br/internet/deputado/bandep/178838.jpg
73720;CESAR SOUZA;PSD;SC;http://www.camara.leg.br/internet/deputado/bandep/73720.jpg
74171;CHICO ALENCAR;PSOL;RJ;http://www.camara.leg.br/internet/deputado/bandep/74171.jpg
141439;CHICO D'ANGELO;PDT;RJ;http://www.camara.leg.br/internet/deputado/bandep/141439.jpg
141440;CHICO LOPES;PCdoB;CE;http://www.camara.leg.br/internet/deputado/bandep/141440.jpg
178928;CHRISTIANE DE SOUZA YARED;PR;PR;http://www.camara.leg.br/internet/deputado/bandep/178928.jpg
178841;CÍCERO ALMEIDA;PHS;AL;http://www.camara.leg.br/internet/deputado/bandep/178841.jpg
178939;CLARISSA GAROTINHO;PROS;RJ;http://www.camara.leg.br/internet/deputado/bandep/178939.jpg
74537;CLAUDIO CAJADO;PP;BA;http://www.camara.leg.br/internet/deputado/bandep/74537.jpg
141408;CLEBER VERDE;PRB;MA;http://www.camara.leg.br/internet/deputado/bandep/141408.jpg
178848;CONCEIÇÃO SAMPAIO;PSDB;AM;http://www.camara.leg.br/internet/deputado/bandep/178848.jpg
178963;COVATTI FILHO;PP;RS;http://www.camara.leg.br/internet/deputado/bandep/178963.jpg
93472;CRISTIANE BRASIL;PTB;RJ;http://www.camara.leg.br/internet/deputado/bandep/93472.jpg
141411;DAGOBERTO NOGUEIRA;PDT;MS;http://www.camara.leg.br/internet/deputado/bandep/141411.jpg
74467;DAMIÃO FELICIANO;PDT;PB;http://www.camara.leg.br/internet/deputado/bandep/74467.jpg
178892;DÂMINA PEREIRA;PODE;MG;http://www.camara.leg.br/internet/deputado/bandep/178892.jpg
74060;DANIEL ALMEIDA;PCdoB;BA;http://www.camara.leg.br/internet/deputado/bandep/74060.jpg
178916;DANIEL COELHO;PPS;PE;http://www.camara.leg.br/internet/deputado/bandep/178916.jpg
144523;DANIEL VILELA;PMDB;GO;http://www.camara.leg.br/internet/deputado/bandep/144523.jpg
160528;DANILO CABRAL;PSB;PE;http://www.camara.leg.br/internet/deputado/bandep/160528.jpg
62881;DANILO FORTE;PSDB;CE;http://www.camara.leg.br/internet/deputado/bandep/62881.jpg
160552;DANRLEI DE DEUS HINTERHOLZ;PSD;RS;http://www.camara.leg.br/internet/deputado/bandep/160552.jpg
73891;DARCÍSIO PERONDI;PMDB;RS;http://www.camara.leg.br/internet/deputado/bandep/73891.jpg
141413;DÉCIO LIMA;PT;SC;http://www.camara.leg.br/internet/deputado/bandep/141413.jpg
178908;DELEGADO ÉDER MAURO;PSD;PA;http://www.camara.leg.br/internet/deputado/bandep/178908.jpg
178893;DELEGADO EDSON MOREIRA;PR;MG;http://www.camara.leg.br/internet/deputado/bandep/178893.jpg
160646;DELEGADO FRANCISCHINI;PSL;PR;http://www.camara.leg.br/internet/deputado/bandep/160646.jpg
164359;DELEGADO WALDIR;PSL;GO;http://www.camara.leg.br/internet/deputado/bandep/164359.jpg
74172;DELEY;PTB;RJ;http://www.camara.leg.br/internet/deputado/bandep/74172.jpg
160588;DIEGO ANDRADE;PSD;MG;http://www.camara.leg.br/internet/deputado/bandep/160588.jpg
178929;DIEGO GARCIA;PODE;PR;http://www.camara.leg.br/internet/deputado/bandep/178929.jpg
160599;DIMAS FABIANO;PP;MG;http://www.camara.leg.br/internet/deputado/bandep/160599.jpg
143632;DOMINGOS NETO;PSD;CE;http://www.camara.leg.br/internet/deputado/bandep/143632.jpg
