"id","uri","sigla","nome","apelido","idTipoOrgao","tipoOrgao"
"4","https://dadosabertos.camara.leg.br/api/v2/orgaos/4","MESA","Mesa Diretora da Câmara dos Deputados","Mesa Diretora","1","Comissão Diretora"
"180","https://dadosabertos.camara.leg.br/api/v2/orgaos/180","PLEN","PLENÁRIO","PLEN","1","Comissão Diretora"
"2001","https://dadosabertos.camara.leg.br/api/v2/orgaos/2001","CAPADR","Comissão de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural","AGRICULTURA, PECUÁRIA, ABASTECIMENTO DESENV. RURAL","2","Comissão Permanente"
"2002","https://dadosabertos.camara.leg.br/api/v2/orgaos/2002","CCTCI","Comissão de Ciência e Tecnologia, Comunicação e Informática","CIÊNCIA E TECNOLOGIA, COMUNICAÇÃO E INFORMÁTICA","2","Comissão Permanente"
"2003","https://dadosabertos.camara.leg.br/api/v2/orgaos/2003","CCJC","Comissão de Constituição e Justiça e de Cidadania","CONSTITUIÇÃO E JUSTIÇA E DE CIDADANIA","2","Comissão Permanente"
"2004","https://dadosabertos.camara.leg.br/api/v2/orgaos/2004","CDC","Comissão de Defesa do Consumidor","DEFESA DO CONSUMIDOR","2","Comissão Permanente"
"2006","https://dadosabertos.camara.leg.br/api/v2/orgaos/2006","CDU","Comissão de Desenvolvimento Urbano","DESENVOLVIMENTO URBANO","2","Comissão Permanente"
"2007","https://dadosabertos.camara.leg.br/api/v2/orgaos/2007","CDHM","Comissão de Direitos Humanos e Minorias","DIREITOS HUMANOS E MINORIAS","2","Comissão Permanente"
"2008","https://dadosabertos.camara.leg.br/api/v2/orgaos/2008","CDEICS","Comissão de Desenvolvimento Econômico, Indústria, Comércio e Serviços","DESENVOLV. ECONÔMICO, INDÚSTRIA, COMÉRCIO E SERV.","2","Comissão Permanente"
"2009","https://dadosabertos.camara.leg.br/api/v2/orgaos/2009","CE","Comissão de Educação","EDUCAÇÃO","2","Comissão Permanente"
"2010","https://dadosabertos.camara.leg.br/api/v2/orgaos/2010","CFT","Comissão de Finanças e Tributação","FINANÇAS E TRIBUTAÇÃO","2","Comissão Permanente"
"2011","https://dadosabertos.camara.leg.br/api/v2/orgaos/2011","CFFC","Comissão de Fiscalização Financeira e Controle","FISCALIZAÇÃO FINANCEIRA E CONTROLE","2","Comissão Permanente"
"2012","https://dadosabertos.camara.leg.br/api/v2/orgaos/2012","CME","Comissão de Minas e Energia","MINAS E ENERGIA","2","Comissão Permanente"
"2014","https://dadosabertos.camara.leg.br/api/v2/orgaos/2014","CSSF","Comissão de Seguridade Social e Família","SEGURIDADE SOCIAL E FAMÍLIA","2","Comissão Permanente"
"2015","https://dadosabertos.camara.leg.br/api/v2/orgaos/2015","CTASP","Comissão de Trabalho, de Administração e Serviço Público","TRABALHO, ADMINISTRAÇÃO E SERVIÇO PÚBLICO","2","Comissão Permanente"
"2016","https://dadosabertos.camara.leg.br/api/v2/orgaos/2016","CVT","Comissão de Viação e Transportes","VIAÇÃO E TRANSPORTES","2","Comissão Permanente"
"2017","https://dadosabertos.camara.leg.br/api/v2/orgaos/2017","CINDRA","Comissão de Integração Nacional, Desenvolvimento Regional e da Amazônia","INTEGRAÇÃO NACIONAL, DESENV. REGIONAL E AMAZÔNIA","2","Comissão Permanente"
"2018","https://dadosabertos.camara.leg.br/api/v2/orgaos/2018","CREDN","Comissão de Relações Exteriores e de Defesa Nacional","RELAÇÕES EXTERIORES E DE DEFESA NACIONAL","2","Comissão Permanente"
"5503","https://dadosabertos.camara.leg.br/api/v2/orgaos/5503","CSPCCO","Comissão de Segurança Pública e Combate ao Crime Organizado","SEGURANÇA PÚBLICA E COMBATE AO CRIME ORGANIZADO","2","Comissão Permanente"
"5971","https://dadosabertos.camara.leg.br/api/v2/orgaos/5971","COETICA","Conselho de Ética e Decoro Parlamentar da Câmara dos Deputados","CONSELHO DE ÉTICA E DECORO PARLAMENTAR","11","Conselho"
"5973","https://dadosabertos.camara.leg.br/api/v2/orgaos/5973","MERCOSUL","Representação Brasileira no Parlamento do Mercosul.","REPRESENTAÇÃO BRASILEIRA NO PARLAMENTO DO MERCOSUL","6","Comissão Mista Permanente"
"6066","https://dadosabertos.camara.leg.br/api/v2/orgaos/6066","CTUR","Comissão de Turismo","TURISMO","2","Comissão Permanente"
