dados__id;dados__sigla;dados__nome;dados__status__situacao;dados__status__totalMembros;dados__status__lider__nome;dados__status__lider__urlFoto;dados__urlLogo
36765;SD;Solidariedade;Ativo;11;WLADIMIR COSTA;http://www.camara.gov.br/internet/deputado/bandep/73930.jpg;http://www.camara.leg.br/internet/Deputado/img/partidos/SD.gif
36765;SD;Solidariedade;Ativo;11;WLADIMIR COSTA;http://www.camara.gov.br/internet/deputado/bandep/73930.jpg;http://www.camara.leg.br/internet/Deputado/img/partidos/SD.gif
36898;AVANTE;Avante;Ativo;5;LUIS TIBÉ;http://www.camara.gov.br/internet/deputado/bandep/160510.jpg;http://www.camara.leg.br/internet/Deputado/img/partidos/AVANTE.gif
36769;DEM;Democratas;Ativo;44;RODRIGO GARCIA;http://www.camara.gov.br/internet/deputado/bandep/88950.jpg;http://www.camara.leg.br/internet/Deputado/img/partidos/DEM.gif
36779;PCdoB;Partido Comunista do Brasil;Ativo;10;ORLANDO SILVA;http://www.camara.gov.br/internet/deputado/bandep/178987.jpg;http://www.camara.leg.br/internet/Deputado/img/partidos/PCdoB.gif
36786;PDT;Partido Democrático Trabalhista;Ativo;20;WEVERTON ROCHA;http://www.camara.gov.br/internet/deputado/bandep/167493.jpg;http://www.camara.leg.br/internet/Deputado/img/partidos/PDT.gif
36761;PEN;Partido Ecológico Nacional;Ativo;5;JUNIOR MARRECA;http://www.camara.gov.br/internet/deputado/bandep/178885.jpg;http://www.camara.leg.br/internet/Deputado/img/partidos/PEN.gif
36793;PHS;Partido Humanista da Solidariedade;Ativo;4;MARCELO ARO;http://www.camara.gov.br/internet/deputado/bandep/146788.jpg;http://www.camara.leg.br/internet/Deputado/img/partidos/PHS.gif
36887;PMB;Partido da Mulher Brasileira;Ativo;0;null;;http://www.camara.leg.br/internet/Deputado/img/partidos/PMB.gif
36800;PMDB;Partido do Movimento Democrático Brasileiro;Ativo;50;LELO COIMBRA;http://www.camara.gov.br/internet/deputado/bandep/141562.jpg;http://www.camara.leg.br/internet/Deputado/img/partidos/PMDB.gif
36801;PMN;Partido da Mobilização Nacional;Ativo;0;null;;http://www.camara.leg.br/internet/Deputado/img/partidos/PMN.gif
36896;PODE;Podemos;Ativo;17;BACELAR;http://www.camara.gov.br/internet/deputado/bandep/69871.jpg;http://www.camara.leg.br/internet/Deputado/img/partidos/PODE.gif
36809;PP;Partido Progressista;Ativo;49;ARTHUR LIRA;http://www.camara.gov.br/internet/deputado/bandep/160541.jpg;http://www.camara.leg.br/internet/Deputado/img/partidos/PP.gif
36762;PPL;Partido Pátria Livre;Ativo;1;ULDURICO JUNIOR;http://www.camara.gov.br/internet/deputado/bandep/178863.jpg;http://www.camara.leg.br/internet/Deputado/img/partidos/PPL.gif
36813;PPS;Partido Popular Socialista;Ativo;8;ALEX MANENTE;http://www.camara.gov.br/internet/deputado/bandep/178972.jpg;http://www.camara.leg.br/internet/Deputado/img/partidos/PPS.gif
36814;PR;Partido da República;Ativo;41;JOSÉ ROCHA;http://www.camara.gov.br/internet/deputado/bandep/74554.jpg;http://www.camara.leg.br/internet/Deputado/img/partidos/PR.gif
36815;PRB;Partido Republicano Brasileiro;Ativo;20;CELSO RUSSOMANNO;http://www.camara.gov.br/internet/deputado/bandep/73441.jpg;http://www.camara.leg.br/internet/Deputado/img/partidos/PRB.gif
36763;PROS;Partido Republicano da Ordem Social;Ativo;11;FELIPE BORNIER;http://www.camara.gov.br/internet/deputado/bandep/141430.jpg;http://www.camara.leg.br/internet/Deputado/img/partidos/PROS.gif
36824;PRP;Partido Republicano Progressista;Ativo;0;NIVALDO ALBUQUERQUE;http://www.camara.gov.br/internet/deputado/bandep/194260.jpg;http://www.camara.leg.br/internet/Deputado/img/partidos/PRP.gif
36829;PRTB;Partido Renovador Trabalhista Brasileiro;Ativo;0;null;;http://www.camara.leg.br/internet/Deputado/img/partidos/PRTB.gif
36832;PSB;Partido Socialista Brasileiro;Ativo;26;JÚLIO DELGADO;http://www.camara.gov.br/internet/deputado/bandep/73586.jpg;http://www.camara.leg.br/internet/Deputado/img/partidos/PSB.gif
36833;PSC;Partido Social Cristão;Ativo;9;GILBERTO NASCIMENTO;http://www.camara.gov.br/internet/deputado/bandep/74270.jpg;http://www.camara.leg.br/internet/Deputado/img/partidos/PSC.gif
