id;nome;siglaPartido;siglaUf;genero
178957;ABEL MESQUITA JR.;DEM;RR;M
178864;ADAIL CARNEIRO;PODE;CE;M
178914;ADALBERTO CAVALCANTI;AVANTE;PE;M
178890;ADELMO CARNEIRO LEÃO;PT;MG;M
178968;ADELSON BARRETO;PR;SE;M
178903;ADILTON SACHETTI;PRB;MT;M
141372;AELTON FREITAS;PR;MG;M
160508;AFONSO FLORENCE;PT;BA;M
136811;AFONSO HAMM;PP;RS;M
178835;AFONSO MOTTA;PDT;RS;M
160527;AGUINALDO RIBEIRO;PP;PB;M
178836;ALAN RICK;DEM;AC;M
73579;ALBERTO FRAGA;DEM;DF;M
160559;ALCEU MOREIRA;MDB;RS;M
160511;ALESSANDRO MOLON;PSB;RJ;M
73458;ALEX CANZIANI;PTB;PR;M
178972;ALEX MANENTE;PPS;SP;M
160545;ALEXANDRE LEITE;DEM;SP;M
178833;ALEXANDRE SERFIOTIS;PSD;RJ;M
178936;ALEXANDRE VALLE;PR;RJ;M
141454;ALFREDO KAEFER;PP;PR;M
178846;ALFREDO NASCIMENTO;PR;AM;M
178927;ALIEL MACHADO;PSB;PR;M
178937;ALTINEU CÔRTES;PR;RJ;M
178881;ALUISIO MENDES;PODE;MA;M
178831;ANDRÉ ABDON;PP;AP;M
195143;ANDRÉ AMARAL;PROS;PB;M
74471;ANDRÉ DE PAULA;PSD;PE;M
133439;ANDRÉ FIGUEIREDO;PDT;CE;M
178882;ANDRÉ FUFUCA;PP;MA;M
160543;ANDRE MOURA;PSC;SE;M
178974;ANDRES SANCHEZ;PT;SP;M
178837;ANGELIM;PT;AC;M
74212;ANÍBAL GOMES;DEM;CE;M
74213;ANTONIO BALHMANN;PDT;CE;M
160553;ANTONIO BRITO;PSD;BA;M
141383;ANTONIO BULHÕES;PRB;SP;M
73584;ANTONIO CARLOS MENDES THAME;PV;SP;M
160530;ANTONIO IMBASSAHY;PSDB;BA;M
178950;ANTÔNIO JÁCOME;PODE;RN;M
73433;ARLINDO CHINAGLIA;PT;SP;M
73434;ARNALDO FARIA DE SÁ;PP;SP;M
