idPartido;siglaPartido;nomePartido;situacaoPartido;membros;lider;urlLogo;numFiliados;dataCriacao;espectroPolitico
36898;AVANTE;Avante;Ativo;5;LUIS TIBÉ;http://www.camara.leg.br/internet/Deputado/img/partidos/AVANTE.gif;185128;15/05/89;centro
36769;DEM;Democratas;Ativo;44;RODRIGO GARCIA;http://www.camara.leg.br/internet/Deputado/img/partidos/DEM.gif;1094797;24/01/85;centro, centro-direita
36779;PCdoB;Partido Comunista do Brasil;Ativo;10;ORLANDO SILVA;http://www.camara.leg.br/internet/Deputado/img/partidos/PCdoB.gif;393388;25/03/22;esquerda, extrema-esquerda
36786;PDT;Partido Democrático Trabalhista;Ativo;20;WEVERTON ROCHA;http://www.camara.leg.br/internet/Deputado/img/partidos/PDT.gif;123890;21/04/84;centro-esquerda, centro
36761;PEN;Partido Ecológico Nacional;Ativo;5;JUNIOR MARRECA;http://www.camara.leg.br/internet/Deputado/img/partidos/PEN.gif;;;
36793;PHS;Partido Humanista da Solidariedade;Ativo;4;MARCELO ARO;http://www.camara.leg.br/internet/Deputado/img/partidos/PHS.gif;210380;06/06/95;centro-direita
36887;PMB;Partido da Mulher Brasileira;Ativo;0;null;http://www.camara.leg.br/internet/Deputado/img/partidos/PMB.gif;38417;13/09/08;centro-esquerda
36800;PMDB;Partido do Movimento Democrático Brasileiro;Ativo;50;LELO COIMBRA;http://www.camara.leg.br/internet/Deputado/img/partidos/PMDB.gif;2400703;21/04/84;centro
36801;PMN;Partido da Mobilização Nacional;Ativo;0;null;http://www.camara.leg.br/internet/Deputado/img/partidos/PMN.gif;222457;21/04/84;
36896;PODE;Podemos;Ativo;17;BACELAR;http://www.camara.leg.br/internet/Deputado/img/partidos/PODE.gif;161577;05/02/45;centro-direita
36809;PP;Partido Progressista;Ativo;49;ARTHUR LIRA;http://www.camara.leg.br/internet/Deputado/img/partidos/PP.gif;1437953;21/04/84;direita
36762;PPL;Partido Pátria Livre;Ativo;1;ULDURICO JUNIOR;http://www.camara.leg.br/internet/Deputado/img/partidos/PPL.gif;39344;21/04/09;centro-esquerda
36813;PPS;Partido Popular Socialista;Ativo;8;ALEX MANENTE;http://www.camara.leg.br/internet/Deputado/img/partidos/PPS.gif;481457;26/01/92;centro-esquerda
36814;PR;Partido da República;Ativo;41;JOSÉ ROCHA;http://www.camara.leg.br/internet/Deputado/img/partidos/PR.gif;798474;26/10/06;centro-direita
