idProposicao;idAutor
2120097;108368
2122124;4736
2122125;4736
2122128;4736
2122129;4736
2122131;4736
2122133;108587
2122133;109092
2122133;108475
2122137;108300
2122413;4736
2122414;4736
2122415;4736
2122480;4736
2122497;108590
2122499;108590
2122533;108207
2122546;4736
2122551;108482
2122552;108482
2122553;108482
2122554;4736
2122558;147581
2122565;108590
2122615;108351
2122621;108106
2122623;310020
2122624;310020
2122626;4669
2122627;108510
2122628;108510
2122629;14752
2122634;108273
2122635;108300
2122636;108560
2122638;108134
2122639;108560
2122640;108542
2122641;108299
2122642;108299
2122643;108299
2122644;108535
2122645;108535
2122646;108218
2122647;108218
2122648;108207
2122649;108187
2122650;108293
2122651;108293
2122652;108293
2122653;108128
2122654;108128
2122655;108579
2122656;108579
2122657;108579
2122658;108177
2122659;108177
2122660;108177
2122661;108177
2122662;108177
2122663;108177
2122664;108194
2122665;108622
2122666;108367
2122667;108275
2122668;108275
2122669;108293
2122670;109747
2122671;108299
2122672;108185
2122673;108299
2122674;108478
2122675;277403
2122676;108177
2122677;108122
2122678;108122
2122679;108122
2122680;108122
2122681;108122
2122682;108473
2122683;108435
2122684;4736
2122685;108439
2122686;108207
2122687;108207
2122688;108207
2122689;108207
2122690;108207
2122691;108207
2122692;108207
2122693;108439
2122694;108207
2122695;108207
2122696;108207
2122697;108207
2122698;108207
2122699;108207
2122700;108207
2122701;108207
2122702;108207
2122703;108207
2122704;108207
2122705;108207
2122706;108207
2122707;108207
2122708;108207
2122709;108207
2122710;108207
2122712;108207
2122713;108207
2122714;108207
2122715;108207
2122716;108207
2122717;108207
2122718;108207
2122719;108207
2122720;108207
2122721;108207
2122722;108207
2122723;108207
2122724;108207
2122725;108207
2122726;108207
2122727;108207
2122728;108207
2122729;108207
2122730;108207
2122731;108207
2122732;108207
2122733;108207
2122734;108274
2122735;108207
2122736;108274
2122737;108207
2122738;108274
2122739;108274
2122740;108207
2122741;108207
2122742;108207
2122743;108207
2122744;108207
2122745;108207
2122746;108207
2122747;108207
2122748;108207
2122749;108207
2122750;108207
2122751;108207
2122761;108557
2122765;108576
2122766;4669
2122767;108405
2122768;108405
2122769;108405
2122770;108405
2122771;108488
2122772;108217
2122773;108217
2122774;3932
2122781;108310
2122782;108310
2122783;108462
2122784;108462
2122785;108462
2122787;108405
2122789;108536
2122795;4736
2122796;4736
2122797;108512
2122798;108488
2122800;117433
2122801;108207
2122802;108319
2122803;108207
2122804;108207
2122805;108207
2122806;108293
2122807;108207
2122808;108207
2122809;108207
2122810;108207
2122811;108207
2122812;108207
2122813;108207
2122814;108207
2122815;108207
2122816;108207
2122817;108207
2122818;108207
2122819;108207
2122820;108207
2122821;108207
2122822;108207
2122823;108207
2122824;108207
2122825;108207
2122826;108207
2122827;108207
2122828;108207
2122829;108207
2122830;108207
2122831;108207
2122832;108207
2122833;108207
2122834;108207
2122835;114873
2122836;108207
2122837;108207
2122838;108207
2122839;108207
2122840;108207
2122841;108207
2122842;108207
2122843;108207
2122844;108207
2122845;108207
2122846;108207
2122847;108207
2122848;108207
2122849;108207
2122850;108207
2122851;108207
2122852;108207
2122853;108207
2122854;108207
2122855;108207
2122856;108207
2122857;108207
2122858;108207
2122859;108207
2122860;108207
2122861;108207
2122862;108207
2122863;108207
2122864;108207
2122866;108582
2122867;108582
2122868;108582
2122869;108582
2122870;108582
2122871;108582
2122872;108582
2122873;108582
2122874;108582
2122875;108582
2122876;108582
2122877;108582
2122878;108582
2122879;108582
2122880;108582
2122881;108310
2122882;108215
2122883;108341
2122884;108278
2122885;108590
2122887;108179
2122903;108094
2122905;108299
2122907;108446
2122908;108446
2122909;108446
2122910;108313
2122911;108313
2122912;108313
2122913;108313
2122914;108313
2122915;108521
2122916;108521
2122919;108293
2122921;108319
2122924;108437
2122925;108437
2122926;108563
2122933;108496
2122934;108496
2122936;108503
2122939;108215
2122940;108114
2122941;147582
2122942;110298
2122943;110298
2122944;110298
2122945;108215
2122946;110298
2122947;110298
2122948;110298
2122949;110298
2122951;108242
2122952;108292
2122954;108131
2122955;108220
2122956;108413
2122958;108429
2122959;110298
2122960;108429
2122961;108429
2122962;108429
2122964;108429
2122965;108493
2122966;108429
2122967;108429
2122968;108429
2122969;108429
2122970;108442
2122971;108429
2122972;108429
2122973;108429
2122974;108132
2122975;108132
2122976;108429
2122977;108429
2122978;108429
2122979;108429
2122980;108429
2122981;108429
2122982;108429
2122983;108429
2122984;108429
2122985;108429
2122986;108429
2122987;108429
2122988;108429
2122989;108429
2122990;108481
2122991;108429
2122992;108429
2122993;108429
2122994;108429
2122995;108429
2122996;108429
2122997;108429
2122998;108429
2123002;147581
2123005;147581
2123006;108540
2123007;108557
2123008;108521
2123009;108268
2123010;108268
2123011;108268
2123012;108268
2123013;108268
2123014;108268
2123015;108268
2123016;108268
2123017;108268
2123019;108268
2123020;108268
2123022;108268
2123024;108268
2123025;108262
2123026;108268
2123027;108268
2123028;108268
2123029;108268
2123031;108268
2123032;108268
2123036;481302
2123043;108430
2123046;108361
2123050;108514
2123054;481247
2123055;481247
2123058;108320
2123059;108320
2123062;108550
2123063;108577
2123065;108441
2123066;255570
2123068;109822
2123069;108496
2123072;310020
2123073;108310
2123075;108526
2123079;108188
2123081;108260
2123082;108334
2123083;108186
2123084;108355
2123085;108217
2123086;108217
2123087;108568
2123089;108564
2123090;108135
2123091;108135
2123092;108282
2123093;108282
2123094;108135
2123095;108135
2123096;108135
2123097;108135
2123098;108135
2123099;108135
2123100;108135
2123101;108582
2123102;108582
2123103;108582
2123104;108582
2123105;108582
2123106;108582
2123107;108582
2123108;108582
2123109;108582
2123110;108582
2123111;108582
2123112;108582
2123119;108194
2123124;108332
2123126;108332
2123128;108332
2123129;108332
2123130;108332
2123131;108332
2123132;108332
2123134;108332
2123135;108597
2123137;108332
2123138;108332
2123139;108597
2123141;108332
2123143;108332
2123146;108332
2123148;108332
2123149;108332
2123151;108332
2123152;108215
