idProposicao;proposicaoTipo;ementa;dataApresentacao
2122124;Projeto de Lei;Dispõe sobre o cargo de Analista em Tecnologia da Informação da Carreira de Tecnologia da Informação, cria o Plano Especial de Cargos de Apoio da Advocacia-Geral da União, estrutura a Carreira de Suporte às Atividades Tributárias e Aduaneiras da Secretaria da Receita Federal do Brasil, e dá outras providências.;2017-01-03
2122125;Projeto de Lei Complementar;Altera a Lei Complementar nº 73, de 10 de fevereiro de 1993, que institui a Lei Orgânica da Advocacia-Geral da União.;2017-01-03
2122128;Medida Provisória;Institui o Programa de Regularização Tributária junto à Secretaria da Receita Federal do Brasil e à Procuradoria-Geral da Fazenda Nacional.;2017-01-05
2122129;Medida Provisória;Altera a Lei nº 8.213, de 24 de julho de 1991, que dispõe sobre os Planos de Benefícios da Previdência Social, e a Lei nº 11.907, de 2 de fevereiro de 2009, que dispõe sobre a reestruturação da composição remuneratória da Carreira de Perito Médico Previdenciário e da Carreira de Supervisor Médico-Pericial, e institui o Bônus Especial de Desempenho Institucional por Perícia Médica em Benefícios por Incapacidade.    NOVA EMENTA: Altera as Leis nºs 8.213, de 24 de julho de 1991, que dispõe sobre os Planos de Benefícios da Previdência Social, e 11.907, de 2 de fevereiro de 2009, que dispõe sobre a reestruturação da composição remuneratória da Carreira de Perito Médico Previdenciário e da Carreira de Supervisor Médico-Pericial  e institui o Bônus Especial de Desempenho Institucional por Perícia Médica em Benefícios por Incapacidade.;2017-01-06
2122131;Mensagem de Comunica ausência do país;Comunica o Excelentíssimo Senhor Presidente da República, que se ausentará do País, em visita a Lisboa, Portugal, nos dias 9 e 10 de janeiro de 2017, por ocasião das cerimônias fúnebres do ex-Primeiro-Ministro e ex-Presidente de Portugal, Mário Soares.;2017-01-10
2122133;Requerimento de Informação;Requerem, nos termos da Constituição da República, art. 50, § 2º, e do Regimento Interno da Câmara dos Deputados, em especial ao art. 226, inciso II, combinado com o art. 115, inciso I, que, ouvida a Mesa, sejam solicitadas ao Ministro da Justiça e Cidadania informações sobre o sistema penitenciário nacional.;2017-01-17
2122137;Requerimento de Informação;Solicita informações ao Sr. Ministro das Relações Exteriores a respeito das Investigações que estão ocorrendo para elucidar o desaparecimento de um grupo de brasileiros que iriam tentar entrar nos Estados Unidos, a partir da rota Nassau - Bahamas até Miami.;2017-01-18
2122413;Mensagem de Concessão ou Renovação de Rádio e TV;Submete à apreciação do Congresso Nacional, o ato constante da Portaria nº 328, de 29 de novembro de 2013 - Rede Norte de Comunicação Ltda., no município de Jacundá - PA e da Portaria nº 329, de 29 de novembro de 2013 - Rede Norte de Comunicação Ltda., no município de Pacajá - PA permissões para executarem, pelo prazo de dez anos, sem direito de exclusividade, serviços de radiodifusão sonora em frequência modulada.    - TVR 199/2017 - Portaria nº 328, de 29 de novembro de 2013 - Rede Norte de Comunicação Ltda., no município de Jacundá - PA   - TVR 200/2017 - Portaria nº 329, de 29 de novembro de 2013 - Rede Norte de Comunicação Ltda., no município de Pacajá - PA.;2017-01-20
2122414;Permissão Rádio Frequência Modulada;Submete à apreciação do Congresso Nacional o ato constante da Portaria nº 328, de 29 de novembro de 2013, que outorga permissão à  Rede Norte de Comunicação Ltda., para explorar, pelo prazo de dez anos, sem direito de exclusividade, serviço de radiodifusão sonora em frequência modulada, no município de Jacundá, Estado do Pará.;2017-01-20
2122415;Permissão Rádio Frequência Modulada;Submete à apreciação do Congresso Nacional o ato constante da Portaria nº 329, de 29 de novembro de 2013, que outorga permissão à  Rede Norte de Comunicação Ltda., para explorar, pelo prazo de dez anos, sem direito de exclusividade, serviço de radiodifusão sonora em frequência modulada, no município de Pacajá, Estado do Pará.;2017-01-20
2122480;Mensagem de Acordos, convênios, tratados e atos internacionais;Em aditamento à Mensagem no 714, de 28 de dezembro de 2016, submete ao Congresso Nacional, o texto da Emenda de Banimento à Convenção de Basiléia sobre o Controle de Movimentos Transfronteiriços de Resíduos Perigosos e seu Depósito, adotada durante a Terceira Reunião da Conferência das Partes, em Genebra, entre os dias 18 e 22 de setembro de 1995.;2017-01-24
2122497;Requerimento de Informação;Requer sejam prestadas informações completas por parte do Ministério da Fazenda acerca da Dívida da Previdência Social do Brasil.;2017-01-26
